game_id,date,season,home_team,away_team,home_score,away_score,neutral_site
823244,2026-03-25,2026,San Francisco Giants,New York Yankees,0,7,false
823649,2026-03-26,2026,New York Mets,Pittsburgh Pirates,11,7,false
823812,2026-03-26,2026,Milwaukee Brewers,Chicago White Sox,14,2,false
824704,2026-03-26,2026,Chicago Cubs,Washington Nationals,4,10,false
824865,2026-03-26,2026,Baltimore Orioles,Minnesota Twins,2,1,false
824541,2026-03-26,2026,Cincinnati Reds,Boston Red Sox,0,3,false
824218,2026-03-26,2026,Houston Astros,Los Angeles Angels,0,3,false
823325,2026-03-26,2026,San Diego Padres,Detroit Tigers,2,8,false
823081,2026-03-26,2026,St. Louis Cardinals,Tampa Bay Rays,9,7,false
823486,2026-03-26,2026,Philadelphia Phillies,Texas Rangers,5,3,false
823974,2026-03-26,2026,Los Angeles Dodgers,Arizona Diamondbacks,8,2,false
823163,2026-03-26,2026,Seattle Mariners,Cleveland Guardians,4,6,false
823243,2026-03-27,2026,San Francisco Giants,New York Yankees,0,3,false
822839,2026-03-27,2026,Toronto Blue Jays,Athletics,3,2,false
823893,2026-03-27,2026,Miami Marlins,Colorado Rockies,2,1,false
824946,2026-03-27,2026,Atlanta Braves,Kansas City Royals,6,0,false
824216,2026-03-27,2026,Houston Astros,Los Angeles Angels,2,6,false
823324,2026-03-27,2026,San Diego Padres,Detroit Tigers,2,5,false
823162,2026-03-27,2026,Seattle Mariners,Cleveland Guardians,5,1,false
823971,2026-03-27,2026,Los Angeles Dodgers,Arizona Diamondbacks,5,4,false
823082,2026-03-28,2026,St. Louis Cardinals,Tampa Bay Rays,6,5,false
824701,2026-03-28,2026,Chicago Cubs,Washington Nationals,10,2,false
822838,2026-03-28,2026,Toronto Blue Jays,Athletics,8,7,false
824862,2026-03-28,2026,Baltimore Orioles,Minnesota Twins,1,4,false
823488,2026-03-28,2026,Philadelphia Phillies,Texas Rangers,4,5,false
824540,2026-03-28,2026,Cincinnati Reds,Boston Red Sox,6,5,false
823651,2026-03-28,2026,New York Mets,Pittsburgh Pirates,4,2,false
823892,2026-03-28,2026,Miami Marlins,Colorado Rockies,4,3,false
824213,2026-03-28,2026,Houston Astros,Los Angeles Angels,11,9,false
823811,2026-03-28,2026,Milwaukee Brewers,Chicago White Sox,6,1,false
824945,2026-03-28,2026,Atlanta Braves,Kansas City Royals,6,2,false
823241,2026-03-28,2026,San Francisco Giants,New York Yankees,1,3,false
823323,2026-03-28,2026,San Diego Padres,Detroit Tigers,3,0,false
823973,2026-03-28,2026,Los Angeles Dodgers,Arizona Diamondbacks,3,2,false
823161,2026-03-28,2026,Seattle Mariners,Cleveland Guardians,5,6,false
824864,2026-03-29,2026,Baltimore Orioles,Minnesota Twins,8,6,false
823487,2026-03-29,2026,Philadelphia Phillies,Texas Rangers,3,8,false
824944,2026-03-29,2026,Atlanta Braves,Kansas City Royals,1,4,false
822837,2026-03-29,2026,Toronto Blue Jays,Athletics,5,2,false
824538,2026-03-29,2026,Cincinnati Reds,Boston Red Sox,3,2,false
823647,2026-03-29,2026,New York Mets,Pittsburgh Pirates,3,4,false
823891,2026-03-29,2026,Miami Marlins,Colorado Rockies,4,3,false
824215,2026-03-29,2026,Houston Astros,Los Angeles Angels,9,7,false
823810,2026-03-29,2026,Milwaukee Brewers,Chicago White Sox,9,7,false
823079,2026-03-29,2026,St. Louis Cardinals,Tampa Bay Rays,7,11,false
824700,2026-03-29,2026,Chicago Cubs,Washington Nationals,3,6,false
823160,2026-03-29,2026,Seattle Mariners,Cleveland Guardians,8,0,false
824135,2026-03-30,2026,Kansas City Royals,Minnesota Twins,3,1,false
824863,2026-03-30,2026,Baltimore Orioles,Texas Rangers,2,5,false
824539,2026-03-30,2026,Cincinnati Reds,Pittsburgh Pirates,2,0,false
823484,2026-03-30,2026,Philadelphia Phillies,Washington Nationals,2,13,false
823890,2026-03-30,2026,Miami Marlins,Chicago White Sox,4,9,false
822834,2026-03-30,2026,Toronto Blue Jays,Colorado Rockies,5,14,false
824943,2026-03-30,2026,Atlanta Braves,Athletics,4,0,false
824702,2026-03-30,2026,Chicago Cubs,Los Angeles Angels,7,2,false
